Zeit [h]	Temperatur [C]
0	-0.8
1	-2.6
2	-3.9
3	-4.6
4	-3.9
5	-3.3
6	-2.9
7	-2
8	-1.5
9	-1.2
10	-0.6
11	0.1
12	0.5
13	0.4
14	0.9
15	1.2
16	1.5
17	1.7
18	1.8
19	1.6
20	1.8
21	1.8
22	1.7
23	1.9
24	1.7
25	2
26	2.6
27	2.6
28	2.3
29	2.3
30	2
31	1.6
32	1.8
33	1.5
34	1.8
35	2
36	1.4
37	1
38	0.5
39	-0.3
40	-1.7
41	-1.9
42	-2.6
43	-3.8
44	-4.4
45	-4.6
46	-4.6
47	-5
48	-5.6
49	-5.8
50	-6.4
51	-6.5
52	-7.2
53	-7.5
54	-7.7
55	-7.5
56	-7.7
57	-7.3
58	-6.4
59	-5.2
60	-4.1
61	-3
62	-3.6
63	-3.9
64	-4.8
65	-5.9
66	-7.4
67	-7.9
68	-8.5
69	-9
70	-9.6
71	-10
72	-10.6
73	-11
74	-11.3
75	-11.6
76	-12
77	-12.2
78	-12.5
79	-12.6
80	-12.9
81	-13.4
82	-12.3
83	-10.6
84	-7.9
85	-3.7
86	-4.6
87	-5.3
88	-6.2
89	-6.7
90	-6.8
91	-6.9
92	-7.2
93	-8
94	-9.2
95	-9.8
96	-9.9
97	-10.8
98	-10
99	-10.5
100	-10.7
101	-10.8
102	-11.6
103	-11.3
104	-12
105	-11.9
106	-10.9
107	-9.3
108	-5.1
109	-1.3
110	-3
111	-2.8
112	-3.5
113	-4.9
114	-6.1
115	-6.3
116	-7.1
117	-7.2
118	-7.1
119	-7.2
120	-6.5
121	-6.8
122	-5.1
123	-4
124	-3.4
125	-2.7
126	-1.8
127	-1.6
128	-0.8
129	-0.4
130	0
131	1.1
132	1.6
133	1.6
134	1.2
135	1.2
136	1.3
137	1.2
138	1.5
139	1.5
140	1.6
141	1.8
142	2.1
143	2.1
144	2.1
145	2.3
146	2.3
147	2.3
148	2.1
149	2.1
150	2.1
151	1.8
152	1.6
153	1.3
154	1.2
155	1.3
156	1.2
157	1.1
158	1.2
159	1.3
160	1.1
161	0.9
162	0.7
163	0.8
164	0.6
165	0.4
166	0.3
167	0.2
168	0.1
169	0.1
170	0.1
171	0
172	0
173	-0.2
174	-0.5
175	-0.7
176	-0.8
177	-0.8
178	-0.6
179	-0.4
180	-0.1
181	0
182	0.3
183	0.2
184	0.1
185	0
186	-0.1
187	-0.1
188	-0.2
189	-0.4
190	-0.6
191	-1
192	-1
193	-1.1
194	-1.1
195	-1.1
196	-1.3
197	-1.2
198	-1.1
199	-0.9
200	-0.8
201	-0.8
202	-0.7
203	-0.6
204	-0.5
205	-0.5
206	-0.6
207	-0.8
208	-1
209	-0.9
210	-1.1
211	-1.3
212	-1.4
213	-1.3
214	-1.4
215	-1.4
216	-1.7
217	-1.9
218	-1.9
219	-1.7
220	-1.5
221	-1.3
222	-1.2
223	-1.1
224	-1
225	-0.8
226	-0.9
227	-0.9
228	-0.9
229	-0.9
230	-0.9
231	-0.9
232	-1
233	-1.1
234	-1.2
235	-1.3
236	-1.4
237	-1.6
238	-1.8
239	-2.1
240	-2.1
241	-2
242	-2
243	-2.2
244	-2.6
245	-3.1
246	-3.7
247	-4.1
248	-4.8
249	-5.1
250	-6.1
251	-5.8
252	-5.1
253	-4.6
254	-4.5
255	-4.3
256	-4.1
257	-4
258	-3.8
259	-3.8
260	-4.1
261	-3.3
262	-2.1
263	-1.1
264	-0.6
265	-0.1
266	0.1
267	0
268	0
269	0.1
270	0.1
271	0.1
272	0.1
273	0.3
274	0.2
275	0.5
276	0.5
277	0.5
278	0.4
279	0.6
280	0.7
281	0.8
282	0.6
283	0.6
284	0.6
285	0.5
286	0.4
287	0.4
288	0.3
289	0.3
290	0.3
291	0.2
292	0.2
293	0
294	0.1
295	-0.1
296	-0.2
297	-0.5
298	-0.6
299	-0.3
300	0
301	0.4
302	0.4
303	0.7
304	0.4
305	0.2
306	0.1
307	0
308	-0.2
309	-0.4
310	-0.5
311	-0.6
312	-0.8
313	-1.4
314	-2.3
315	-3.1
316	-3.7
317	-4.1
318	-4.3
319	-4.7
320	-5.2
321	-5.3
322	-4.6
323	-3.5
324	-2.6
325	-0.3
326	-1.1
327	-1.9
328	-2.2
329	-3.1
330	-3.3
331	-3.3
332	-3.7
333	-4.2
334	-4.6
335	-4.7
336	-5.1
337	-4.9
338	-5
339	-5
340	-6
341	-6.3
342	-6.4
343	-6.6
344	-6.7
345	-6.5
346	-5.7
347	-4.5
348	-2.7
349	-0.9
350	-1.5
351	-1.6
352	-2
353	-2.9
354	-3.3
355	-3.7
356	-4.4
357	-4.8
358	-5.1
359	-5.6
360	-6.1
361	-6.6
362	-6.6
363	-6.9
364	-6.7
365	-7.3
366	-7.6
367	-7.6
368	-7.8
369	-7.7
370	-6.5
371	-5.2
372	-3.2
373	-0.6
374	-2
375	-1.9
376	-1.8
377	-2
378	-2
379	-2
380	-1.8
381	-1.7
382	-1.5
383	-1.4
384	-1.3
385	-1.1
386	-0.8
387	-0.6
388	-0.5
389	-0.4
390	-0.6
391	-0.6
392	-0.7
393	-1.2
394	-0.8
395	-0.3
396	1
397	2.4
398	1.7
399	1.3
400	1
401	-0.2
402	-1
403	-1
404	-1.5
405	-1.5
406	-2
407	-2
408	-2.2
409	-2.1
410	-1.8
411	-1.7
412	-1.5
413	-1.5
414	-1.4
415	-1.6
416	-1.5
417	-1.1
418	-0.3
419	0.9
420	2
421	2.7
422	2.2
423	1.1
424	0.6
425	0.4
426	0.5
427	0.5
428	0.7
429	0.7
430	0.7
431	0.7
432	0.7
433	0.7
434	0.6
435	0.4
436	0
437	0.1
438	-0.1
439	0.1
440	0
441	0.4
442	1.1
443	1.7
444	2.2
445	2.3
446	2.5
447	2.6
448	2.8
449	3
450	2.7
451	2.6
452	2.4
453	2.4
454	2.5
455	2.6
456	2.5
457	2.7
458	3.5
459	2.7
460	2.3
461	2.9
462	2.8
463	2.9
464	3.1
465	3.4
466	3.2
467	4.4
468	5
469	5.6
470	4.4
471	4.1
472	4.2
473	4.2
474	4.1
475	4
476	4.3
477	4.7
478	4.8
479	4.8
480	5
481	5.2
482	6.3
483	6.4
484	6.3
485	6.3
486	6.3
487	6.5
488	6.6
489	6.3
490	6.9
491	7.3
492	7.6
493	7.5
494	7.4
495	7.2
496	7.9
497	8.9
498	9.4
499	9.2
500	9
501	8.7
502	8.4
503	7.8
504	7.6
505	7.5
506	7.5
507	7.2
508	7.1
509	6.9
510	6.9
511	6.4
512	4.9
513	4
514	4.1
515	6.4
516	8.5
517	8.7
518	8.3
519	8.6
520	8.5
521	8.4
522	8
523	7.6
524	7.4
525	6.9
526	6
527	5.7
528	6.1
529	4.9
530	5.2
531	5.6
532	5.4
533	5.9
534	6.1
535	6
536	6.1
537	5.7
538	6.2
539	7
540	7.6
541	8.7
542	8.1
543	7.8
544	7.4
545	6.5
546	6.1
547	5.6
548	6.1
549	6.6
550	6.5
551	6.6
552	6.5
553	6.3
554	6.5
555	6.7
556	6.5
557	6.7
558	6.4
559	6.6
560	6.9
561	7.4
562	8.2
563	8.4
564	9.3
565	10.9
566	10.9
567	11.1
568	10.9
569	10.8
570	10.4
571	10.3
572	9.5
573	10
574	9.7
575	9.5
576	7.3
577	6.8
578	5.6
579	4.8
580	3.2
581	3
582	2.5
583	2.3
584	2.1
585	2.3
586	2.7
587	3.5
588	4.4
589	4.3
590	4.7
591	4.8
592	4.2
593	3.3
594	2.8
595	1.8
596	0.8
597	1.6
598	1.5
599	1.5
600	1.7
601	1.9
602	2.1
603	2.2
604	3.2
605	3.9
606	4.9
607	5.9
608	7.1
609	8
610	8.7
611	9.3
612	10.6
613	10.9
614	10.9
615	11.3
616	10.5
617	10.2
618	10.1
619	10.3
620	10.6
621	9.1
622	8.8
623	10.2
624	10.5
625	10.8
626	10.1
627	9.5
628	8.5
629	8.6
630	9.2
631	8.8
632	8.8
633	7
634	6.5
635	7.3
636	9
637	8.8
638	8.7
639	8.6
640	8.4
641	8.1
642	7.9
643	7.8
644	7.5
645	7.7
646	7.5
647	7.3
648	6.8
649	5.9
650	6.5
651	6.7
652	6.5
653	6.4
654	7.6
655	8.7
656	9.8
657	10.5
658	11.7
659	12.6
660	14.4
661	14.2
662	13.3
663	12.7
664	9
665	9.7
666	10.1
667	8.9
668	9.3
669	9.2
670	9
671	9.7
672	10.1
673	10.3
674	10.3
675	10.6
676	9.8
677	9.7
678	9.7
679	9.7
680	9.8
681	9.4
682	9.2
683	9.5
684	10.9
685	11.3
686	10.6
687	9.6
688	9.1
689	8.8
690	8.5
691	7.5
692	6.9
693	6.5
694	6.3
695	5.2
696	4
697	2.4
698	1.1
699	0.2
700	0.2
701	0.1
702	0.2
703	0
704	0
705	0.1
706	0.4
707	0.6
708	0.6
709	1
710	1.1
711	1.2
712	1.1
713	0.8
714	0.5
715	0.1
716	-0.5
717	-0.7
718	-0.3
719	-0.2
720	0
721	0.1
722	0
723	0.1
724	0
725	-0.5
726	-0.6
727	-0.8
728	-0.9
729	-0.7
730	-0.5
731	-0.2
732	0.2
733	1.3
734	1.9
735	2.3
736	2.2
737	1.7
738	0.8
739	0.7
740	0.6
741	0.6
742	0.5
743	0.4
744	0.1
745	0
746	-0.1
747	-0.1
748	-0.2
749	-0.3
750	-0.4
751	-0.5
752	-0.4
753	-0.4
754	-0.2
755	0.3
756	0.3
757	0.3
758	0.6
759	0.3
760	0.2
761	0
762	-0.1
763	-0.2
764	-0.6
765	-0.9
766	-2
767	-2.7
768	-2.8
769	-2.7
770	-2.3
771	-2
772	-1.6
773	-1.6
774	-1.7
775	-2
776	-2.1
777	-2
778	-2.4
779	-1.7
780	-1.3
781	-1.2
782	-1
783	-0.9
784	-1.5
785	-2.7
786	-2.9
787	-3.1
788	-3.5
789	-3.5
790	-3.9
791	-4
792	-4.3
793	-4.9
794	-5.4
795	-6.3
796	-7.6
797	-8.4
798	-8.4
799	-8.5
800	-8.8
801	-8.6
802	-7.6
803	-6
804	-5
805	-4
806	-4.6
807	-4.3
808	-4.2
809	-4.2
810	-4.2
811	-4.1
812	-4.2
813	-4.1
814	-4.1
815	-4.2
816	-4.4
817	-4.6
818	-4.8
819	-4.9
820	-4.9
821	-4.7
822	-4.8
823	-4.9
824	-5.1
825	-5.1
826	-4.9
827	-4.6
828	-4.4
829	-4.3
830	-3.9
831	-3.9
832	-4.1
833	-4.3
834	-4.4
835	-4.7
836	-5
837	-5
838	-5.3
839	-5.6
840	-5.9
841	-6
842	-6.1
843	-6.1
844	-5.5
845	-4.8
846	-4
847	-3.5
848	-3.4
849	-3
850	-2.1
851	-0.5
852	1.9
853	3.7
854	4.5
855	4.6
856	4.7
857	4.5
858	5
859	4.2
860	4.2
861	4.5
862	4.3
863	4.5
864	4.9
865	5.3
866	5.6
867	6.2
868	6.1
869	6.1
870	5.3
871	5.3
872	6
873	6.9
874	7.9
875	8.5
876	9.2
877	10.7
878	11.2
879	11
880	11
881	11.4
882	10.8
883	10.7
884	10.7
885	10.7
886	11.1
887	10.1
888	9.8
889	9.4
890	9.1
891	9.3
892	9.4
893	9.1
894	8.8
895	8.5
896	8.4
897	8.5
898	8.1
899	8.3
900	8.2
901	8.6
902	8.7
903	9.6
904	10.4
905	9.4
906	8.1
907	8.3
908	8.2
909	8.3
910	9.1
911	9
912	9.1
913	9.3
914	7.8
915	7.1
916	6.7
917	6.4
918	6.6
919	7.4
920	8.4
921	8.5
922	10
923	10.6
924	11.6
925	12.7
926	12.9
927	12.5
928	12.3
929	11.6
930	11.1
931	10
932	9.7
933	9.2
934	8.7
935	7.4
936	5.8
937	3.8
938	2.2
939	1
940	0.8
941	0.8
942	0.6
943	0.9
944	1
945	0.8
946	1.2
947	1.4
948	2.7
949	3.3
950	1.3
951	2
952	2
953	1.7
954	1
955	0.7
956	-0.3
957	-1.1
958	-0.9
959	-0.9
960	-1.2
961	-1.5
962	-1.8
963	-1.6
964	-2.1
965	-1.7
966	-1.8
967	-0.7
968	-0.2
969	0.3
970	0.7
971	1.2
972	1.9
973	2.2
974	0.4
975	1.1
976	1.7
977	1.6
978	0.6
979	0.2
980	0.1
981	0.1
982	0.1
983	0.1
984	0.2
985	0.2
986	0.3
987	0.3
988	0.3
989	0.4
990	0.6
991	0.5
992	0.4
993	0.6
994	0.9
995	1.1
996	1.5
997	1.8
998	1.7
999	1.6
1000	1.4
1001	0
1002	-0.7
1003	-1.2
1004	-1.7
1005	-1.8
1006	-2.7
1007	-3.4
1008	-4.4
1009	-5
1010	-5.6
1011	-5.9
1012	-6.1
1013	-6
1014	-5.5
1015	-5.2
1016	-5
1017	-4.5
1018	-2.7
1019	-1.7
1020	-1
1021	-0.7
1022	-0.6
1023	-0.7
1024	-0.9
1025	-1
1026	-1.1
1027	-1.1
1028	-1.3
1029	-1.4
1030	-1.4
1031	-1.2
1032	-0.9
1033	-0.5
1034	-0.4
1035	-0.2
1036	-0.1
1037	0
1038	0.3
1039	0.8
1040	0.9
1041	1.1
1042	1.6
1043	2
1044	2.7
1045	3.4
1046	3.6
1047	3.8
1048	3.6
1049	4.2
1050	4
1051	4.3
1052	4.5
1053	4.4
1054	4.4
1055	3.4
1056	3.2
1057	3
1058	2.7
1059	2.3
1060	2.2
1061	2.4
1062	2.8
1063	2.5
1064	2.9
1065	3.4
1066	3.4
1067	3
1068	2.8
1069	3
1070	4.1
1071	5.6
1072	6
1073	5.8
1074	5.4
1075	4.9
1076	4.8
1077	4.8
1078	4.6
1079	4
1080	4.2
1081	3.9
1082	3.9
1083	3.5
1084	3.1
1085	2.7
1086	2.2
1087	1.8
1088	1.7
1089	1.9
1090	1.8
1091	1.7
1092	1.7
1093	1.8
1094	1.7
1095	1.5
1096	1.5
1097	1.1
1098	0.7
1099	0.6
1100	0.5
1101	0.5
1102	0.7
1103	0.8
1104	0.7
1105	0
1106	-0.2
1107	-0.7
1108	-0.4
1109	-0.6
1110	-1.3
1111	-1.2
1112	-0.8
1113	-0.7
1114	-0.7
1115	-0.1
1116	0
1117	0.1
1118	0.2
1119	0.5
1120	0.4
1121	0.5
1122	0.6
1123	0.7
1124	1
1125	1.3
1126	1.6
1127	1.7
1128	1.6
1129	1.5
1130	1.6
1131	1.8
1132	1.8
1133	1.8
1134	1.7
1135	1.6
1136	1.8
1137	1.7
1138	2.2
1139	2.6
1140	3
1141	4
1142	4.2
1143	4.7
1144	4.2
1145	4.4
1146	4.4
1147	4.4
1148	4.2
1149	3.8
1150	4
1151	4.3
1152	4.3
1153	4
1154	3.4
1155	2.4
1156	2.2
1157	2.1
1158	1.4
1159	1.4
1160	1.5
1161	1.7
1162	1.7
1163	2.8
1164	2.9
1165	3.9
1166	4.4
1167	4.2
1168	4.9
1169	3.5
1170	2.5
1171	2.2
1172	2.4
1173	2.1
1174	1.7
1175	1.3
1176	1
1177	1
1178	1
1179	1
1180	1
1181	1
1182	1.1
1183	0.9
1184	1.1
1185	1.3
1186	1.9
1187	2.6
1188	3.3
1189	3.7
1190	3.8
1191	3.6
1192	3.3
1193	2.6
1194	2.3
1195	2.1
1196	1.7
1197	1.3
1198	1.3
1199	1.3
1200	1.4
1201	1.4
1202	1.5
1203	1.3
1204	1.1
1205	1
1206	0.9
1207	0.7
1208	0.5
1209	0.4
1210	0.5
1211	1.2
1212	1.1
1213	1.4
1214	1.5
1215	2.2
1216	2.5
1217	2.1
1218	1.2
1219	0.1
1220	-0.1
1221	0.1
1222	0.1
1223	-1
1224	-0.9
1225	-0.5
1226	-0.6
1227	-0.7
1228	-1.1
1229	-1.4
1230	-2.1
1231	-2.5
1232	-2.9
1233	-2.2
1234	-1
1235	0.9
1236	1.1
1237	2.1
1238	1.6
1239	2.1
1240	1.7
1241	1.2
1242	-0.4
1243	-1.1
1244	-2.2
1245	-2.2
1246	-1.9
1247	-1.8
1248	-1.9
1249	-2.4
1250	-3
1251	-3.3
1252	-2.9
1253	-3.6
1254	-3.8
1255	-3.4
1256	-2.9
1257	-2.5
1258	-1.8
1259	-1.1
1260	-0.3
1261	0.4
1262	0.9
1263	0.8
1264	0.7
1265	0.5
1266	0.2
1267	0.2
1268	0.2
1269	0.3
1270	0.2
1271	0.1
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0.1
1278	0.1
1279	0.2
1280	0.4
1281	1
1282	1.2
1283	1.8
1284	2.6
1285	3.6
1286	4
1287	5
1288	5.9
1289	5
1290	4
1291	2.8
1292	2.2
1293	0.9
1294	0.1
1295	0.3
1296	0.7
1297	0.2
1298	-0.4
1299	-0.3
1300	-1
1301	-1.2
1302	-1.9
1303	-0.7
1304	-0.7
1305	0.6
1306	1.9
1307	2.7
1308	3.5
1309	4.3
1310	4.7
1311	5
1312	5.3
1313	5.7
1314	6.2
1315	6.3
1316	5.6
1317	4.6
1318	4
1319	3.5
1320	3.7
1321	3.4
1322	3.1
1323	2.7
1324	2.8
1325	3.3
1326	2.6
1327	1.9
1328	1.3
1329	0.5
1330	0.5
1331	1.2
1332	2.5
1333	3.5
1334	3.8
1335	3.8
1336	3.8
1337	3.7
1338	3
1339	2.1
1340	2
1341	2.1
1342	2.1
1343	1.9
1344	2.6
1345	2.8
1346	3
1347	3.1
1348	3.2
1349	3.3
1350	3.3
1351	2.7
1352	2.3
1353	3.3
1354	4
1355	3.9
1356	5.9
1357	5.6
1358	6
1359	6.2
1360	6.4
1361	6.3
1362	5.7
1363	5.2
1364	4.8
1365	4.9
1366	4.6
1367	3.8
1368	2.3
1369	1.1
1370	0.6
1371	0.7
1372	0.4
1373	0.5
1374	0.2
1375	-0.1
1376	-0.6
1377	0.6
1378	3.5
1379	4.9
1380	6.8
1381	8.5
1382	9.4
1383	9.7
1384	9.6
1385	9.1
1386	7.7
1387	6.3
1388	5.7
1389	6.2
1390	5.9
1391	6.1
1392	5.9
1393	6
1394	5.9
1395	5.8
1396	5.4
1397	5.7
1398	5.2
1399	5.6
1400	5.9
1401	6.9
1402	8
1403	12
1404	14.6
1405	15.8
1406	17
1407	17.6
1408	16.9
1409	15.7
1410	15.2
1411	14.7
1412	11.2
1413	9.3
1414	7.7
1415	6.1
1416	4.9
1417	3.5
1418	2.4
1419	1.4
1420	1
1421	0.5
1422	-0.6
1423	-0.5
1424	-1.2
1425	0.4
1426	2.3
1427	2.2
1428	3
1429	3.5
1430	4.7
1431	5.3
1432	4.4
1433	3.8
1434	3.3
1435	2
1436	2
1437	1.9
1438	1.5
1439	0.7
1440	-0.1
1441	-0.9
1442	-1.7
1443	-2
1444	-1.3
1445	-1.8
1446	-1.1
1447	-0.5
1448	0.2
1449	1
1450	2.1
1451	1.9
1452	3.6
1453	5.8
1454	4.3
1455	5.4
1456	6.6
1457	6.6
1458	6.1
1459	5.7
1460	5.3
1461	5.8
1462	6.7
1463	6.2
1464	6.3
1465	6.4
1466	6.8
1467	6.5
1468	6.2
1469	5.7
1470	5.8
1471	5.9
1472	6
1473	6.2
1474	6.4
1475	7.2
1476	8
1477	8.1
1478	8.9
1479	8
1480	7.2
1481	7.1
1482	7.2
1483	7.7
1484	8.2
1485	8.9
1486	9.9
1487	10.8
1488	11.6
1489	10.3
1490	10.4
1491	10.4
1492	11.1
1493	10.9
1494	10.5
1495	11
1496	10.8
1497	11.4
1498	12.6
1499	14
1500	15.7
1501	17.2
1502	17.1
1503	17.7
1504	16.6
1505	15.7
1506	14.7
1507	15.4
1508	14.4
1509	10.2
1510	9.3
1511	8.7
1512	6.8
1513	6.1
1514	5.3
1515	4.1
1516	3.8
1517	3.1
1518	2.1
1519	1.8
1520	2.5
1521	4.9
1522	4.6
1523	5.6
1524	5.4
1525	5.4
1526	6.4
1527	6.7
1528	5.3
1529	6
1530	5.3
1531	5
1532	4.5
1533	3.9
1534	3.4
1535	3.1
1536	1.9
1537	1.4
1538	0.9
1539	0.2
1540	0.9
1541	1.5
1542	2.1
1543	2.2
1544	2.2
1545	2.2
1546	3.7
1547	4.8
1548	4.8
1549	4.9
1550	5.8
1551	5.4
1552	5.4
1553	4.2
1554	2.9
1555	2.1
1556	1.8
1557	1.6
1558	1.6
1559	1.6
1560	1.5
1561	1.5
1562	1.5
1563	1.6
1564	1.7
1565	1.8
1566	2
1567	2.6
1568	4.7
1569	7.6
1570	8
1571	8.4
1572	8.8
1573	9.2
1574	9.4
1575	9.1
1576	9.3
1577	10.3
1578	9.8
1579	9.5
1580	8.8
1581	7.2
1582	6.7
1583	7.1
1584	7.1
1585	6.3
1586	7.4
1587	7.2
1588	6.4
1589	6.5
1590	6.4
1591	6.3
1592	6.4
1593	6.5
1594	6.9
1595	7.2
1596	8.7
1597	5.5
1598	3.6
1599	3.5
1600	3.4
1601	3.1
1602	2.1
1603	1.3
1604	0.8
1605	0.5
1606	0
1607	-1
1608	-1.5
1609	-1.7
1610	-2
1611	-2.4
1612	-2.6
1613	-3.1
1614	-3.2
1615	-3.4
1616	-3.1
1617	-1.7
1618	0.5
1619	1.4
1620	2.5
1621	3
1622	3.7
1623	3.3
1624	3.3
1625	1.2
1626	0.6
1627	-0.7
1628	-1.3
1629	-1.2
1630	-1.5
1631	-1.7
1632	-1.2
1633	-2.3
1634	-1.7
1635	-2
1636	-1.8
1637	-1.1
1638	-1.3
1639	-1.1
1640	-1.1
1641	-0.3
1642	1.5
1643	2.5
1644	2.9
1645	4.3
1646	3.2
1647	4.5
1648	4.9
1649	4
1650	2.5
1651	0.6
1652	-0.3
1653	-0.4
1654	-0.9
1655	-1.8
1656	-2.1
1657	-2.8
1658	-2.5
1659	-3.2
1660	-3.7
1661	-3.9
1662	-4.2
1663	-3.8
1664	-3.2
1665	-1.8
1666	1.1
1667	2.8
1668	3.7
1669	4.2
1670	3.9
1671	4.7
1672	4.6
1673	3.5
1674	2.3
1675	0.7
1676	-0.2
1677	-0.5
1678	-1
1679	-1.7
1680	-2.5
1681	-2.9
1682	-3.4
1683	-3.4
1684	-3.5
1685	-3.7
1686	-4
1687	-3.8
1688	-3.6
1689	-2.3
1690	-0.8
1691	0
1692	1
1693	1
1694	1.4
1695	1.3
1696	0.8
1697	0.7
1698	0.5
1699	-0.4
1700	-0.8
1701	-0.8
1702	-0.5
1703	-0.5
1704	-0.5
1705	-0.5
1706	-1
1707	-0.8
1708	-1
1709	-1.6
1710	-2.4
1711	-3.2
1712	-2.9
1713	-0.9
1714	1
1715	3.4
1716	4.5
1717	5.1
1718	5.9
1719	5.9
1720	4.9
1721	4.1
1722	3.2
1723	2.3
1724	2.6
1725	3
1726	3.4
1727	4.2
1728	4.5
1729	5.1
1730	5.4
1731	5.4
1732	5.1
1733	4.8
1734	4.5
1735	4.2
1736	2.4
1737	3.3
1738	3.8
1739	4.7
1740	5.6
1741	5.8
1742	6.5
1743	5.9
1744	6.1
1745	6.2
1746	5.6
1747	5
1748	4.5
1749	3.8
1750	3.1
1751	2.3
1752	1.3
1753	0.8
1754	1.4
1755	1.8
1756	1.5
1757	1.6
1758	1.2
1759	1.5
1760	1.7
1761	3.2
1762	2.8
1763	2.6
1764	2.7
1765	3
1766	3.3
1767	4.1
1768	4.3
1769	3.9
1770	3.6
1771	3.4
1772	3.3
1773	3.1
1774	1.7
1775	1.6
1776	1.7
1777	1.8
1778	1.8
1779	1.8
1780	1.8
1781	1.9
1782	2.1
1783	2.1
1784	2.7
1785	3.6
1786	4.5
1787	5.3
1788	5.7
1789	6.2
1790	6.8
1791	7.2
1792	7.4
1793	7.6
1794	8
1795	8.2
1796	8.3
1797	8.2
1798	8.2
1799	8.1
1800	8
1801	7.8
1802	7.7
1803	7.6
1804	7.3
1805	7.3
1806	7.4
1807	7.4
1808	7.5
1809	7.7
1810	7.8
1811	7.9
1812	8
1813	8.4
1814	8.6
1815	8.9
1816	8.7
1817	8.7
1818	8.7
1819	8.3
1820	8.2
1821	8
1822	7.7
1823	7.8
1824	7.5
1825	7.5
1826	7.5
1827	7.4
1828	6.6
1829	6.4
1830	6.4
1831	6.4
1832	6.9
1833	7.8
1834	8.5
1835	8.9
1836	9.6
1837	11.1
1838	10.8
1839	9.1
1840	9.4
1841	9.5
1842	7.7
1843	7.1
1844	6.6
1845	5.9
1846	5.2
1847	4.2
1848	3.2
1849	2.3
1850	1.5
1851	1.1
1852	1.1
1853	1.6
1854	1.8
1855	2.4
1856	3
1857	3.5
1858	3.8
1859	4
1860	4.3
1861	4.4
1862	4.9
1863	4.5
1864	4.7
1865	4.7
1866	4.6
1867	4.4
1868	4.3
1869	4.1
1870	4
1871	3.9
1872	3.7
1873	3.5
1874	3.1
1875	2.9
1876	2.7
1877	2.5
1878	2.2
1879	2.1
1880	2.1
1881	1.9
1882	2.2
1883	2.1
1884	2.5
1885	3.1
1886	3.5
1887	3.4
1888	3.6
1889	3.6
1890	3.5
1891	2.1
1892	1.2
1893	1.7
1894	0.5
